count;id;investigator;investigator_id;code;site;country;classification;long;lat;negatives;cortex;ba_1_1;ba_1_2;ba_1_3;ba_1_4;ba_2_1;ba_2_2;ba_2_3;ba_3_1;ba_3_2;ba_3_3;ba_3_4;ba_4_1;ba_4_2;ba_4_3;ba_5_1;ba_5_2;ba_5_3;ba_6_1;ba_6_2;ba_6_3;ba_6_4;ba_6_5;ba_6_6;ba_7_1;ba_7_2;ba_7_3;ba_7_4;ba_7_5;ba_8_1;ba_9_1;ba_9_2;ba_9_3;ba_10_1;ba_10_2;ba_10_3;ba_10_4;ba_10_5;ba_10_6;ba_10_7;ba_11_1;ba_11_2;ba_11_3;ba_11_4;ba_11_5;ba_12_1;ba_12_2;ba_12_3;ba_12_4;ba_12_5;ba_12_6;ba_12_7;ba_13_1;ba_13_2;ba_14_1;ba_14_2;ba_14_3;ba_15_1;length;width;prox.thick;mes.thick;dist.thick;butt.thick;butt.width;weight
1;GL 2062 15/16 nv;"MVM; JBP";1;;Hoejgaard;DK;Bromme;;;3;5;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;72.9;28.1;4.1;5.5;5.7;3.1;4;11.93
2;FR 2062 13/13 sv;"MVM; JBP";2;;Hoejgaard;DK;Bromme;;;6;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;80.9;35.3;13.5;14.4;6.5;5.1;10.7;36.55
3;PO 2062 H12/15 sv;"MVM; JBP";3;;Hoejgaard;DK;Bromme;;;3;20;1;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;87.5;31.8;8.8;10;6.3;7.3;14.7;33.1
4;PJ 2062 12/15 nv (41);"MVM; JBP";4;;Hoejgaard;DK;Bromme;;;3;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;84.8;33.7;7.9;6;5.8;6.2;13.8;21.86
5;ZZ 13/16 sø;"MVM; JBP";5;;Hoejgaard;DK;Bromme;;;3;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;69.2;23.1;7.7;7.5;4.1;1.3;1.7;11.43
6;DS 2062 13/14 sv;"MVM; JBP";6;;Hoejgaard;DK;Bromme;;;4;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;72.6;15.8;3.5;3;2.6;2.1;4.6;4.49
7;NQ 2062 12/15 nv (97 lodret);"MVM; JBP";7;;Hoejgaard;DK;Bromme;;;3;5;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;52.8;17.5;5.3;5.7;2.6;3.1;7.3;5.23
8;CX 2062 13/15 sv;"MVM; JBP";8;;Hoejgaard;DK;Bromme;;;2;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;48.5;20.9;3.7;4.7;2;1.3;3.6;3.74
9;MY 2062 15/15 nø;"MVM; JBP";9;;Hoejgaard;DK;Bromme;;;2;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;45.1;13.3;2.5;4.5;2.1;1;2.8;2.22
10;QL 2062 12/12 nø;"MVM; JBP";10;;Hoejgaard;DK;Bromme;;;3;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;36.2;15.5;3;4.5;2.7;2.6;6.4;2.44
11;UL 2062 H 15/13 NV;"MVM; JBP";11;;Hoejgaard;DK;Bromme;;;2;10;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;62.5;18.3;4.4;7.3;3.5;2.7;4.5;6.56
12;LR 2062 12/15 NØ, 87 lodret;"MVM; JBP";12;;Hoejgaard;DK;Bromme;;;2;5;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;72.4;26.8;10.3;8.5;2.8;4;9.6;15.53
13;RU 2062 H 13/16 SV;"MVM; JBP";13;;Hoejgaard;DK;Bromme;;;2;40;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;76.1;26.3;8.1;7.7;5.9;2;6.5;17.06
14;OG 2062 H11/14 NØ, 89 lodret;"MVM; JBP";14;;Hoejgaard;DK;Bromme;;;5;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;65.5;20.4;8;7.3;3.6;7.1;16.9;11.14
15;ZV 13/16 SØ;"MVM; JBP";15;;Hoejgaard;DK;Bromme;;;2;20;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;59.8;19.7;6.6;5.7;1.6;4;10.7;10.69
