count,artefact.cat,id,site,country,long,lat,chron,max.length,max.width,max.thick,weight,photo,source,publication.2,comment
1,scraper,NC 2062 H 12/15 NV,hoejgaard,DK,11.69494,55.54491,alleroed,62.8,28.1,9.7,18.38,Højgaard_samlingen_3,inventory,,
2,scraper,AFH 2062,hoejgaard,DK,11.69494,55.54491,alleroed,67.6,26,7.7,19.37,Højgaard_samlingen_3,inventory,,
3,scraper,YA 2062 P H9 T-V,hoejgaard,DK,11.69494,55.54491,alleroed,76.2,23.7,8.8,19.06,Højgaard_samlingen_3,inventory,,
4,scraper,ALE 2062,hoejgaard,DK,11.69494,55.54491,alleroed,56.7,28,16.4,35.02,Højgaard_samlingen_3,inventory,,
5,scraper,ANO 2062,hoejgaard,DK,11.69494,55.54491,alleroed,55.1,25.9,10.4,17.23,Højgaard_samlingen_3,inventory,,
6,scraper,AKY 2062,hoejgaard,DK,11.69494,55.54491,alleroed,50.2,19.2,7.9,8.83,Højgaard_samlingen_3,inventory,,
7,scraper,AKK 2062,hoejgaard,DK,11.69494,55.54491,alleroed,62.8,27.4,15.2,29.44,Højgaard_samlingen_3,inventory,,
8,scraper,AAD 2062,hoejgaard,DK,11.69494,55.54491,alleroed,64.7,35.7,14.3,35.72,Højgaard_samlingen_3,inventory,,
9,scraper,AHJ 2062,hoejgaard,DK,11.69494,55.54491,alleroed,71.5,31,13.5,22.11,Højgaard_samlingen_3,inventory,,
10,scraper,ALS 2062,hoejgaard,DK,11.69494,55.54491,alleroed,40.3,21.4,8,7.48,Højgaard_samlingen_3,inventory,,
11,scraper,ALT 2062,hoejgaard,DK,11.69494,55.54491,alleroed,75.9,27.2,10.5,24.48,Højgaard_samlingen_3,inventory,,
12,scraper,KW 2062 H 12/15 SØ,hoejgaard,DK,11.69494,55.54491,alleroed,53.7,23.2,7.6,9.99,Højgaard_samlingen_3,inventory,,
13,scraper,AJQ 2062,hoejgaard,DK,11.69494,55.54491,alleroed,57.5,31.6,9,17.18,Højgaard_samlingen_3,inventory,,
14,scraper,ALU 2062,hoejgaard,DK,11.69494,55.54491,alleroed,49.9,22.9,9.5,12.7,Højgaard_samlingen_3,inventory,,
15,scraper,AOR 2062,hoejgaard,DK,11.69494,55.54491,alleroed,71,39.7,11.4,42.01,Højgaard_samlingen_3,inventory,,
16,scraper,ANZ 2062,hoejgaard,DK,11.69494,55.54491,alleroed,48.6,33.4,10,18.17,Højgaard_samlingen_3,inventory,,
17,scraper,AJP 2062,hoejgaard,DK,11.69494,55.54491,alleroed,40.6,33.6,12.7,20.42,Højgaard_samlingen_3,inventory,,
18,scraper,NG 2062 H 12/15 NV,hoejgaard,DK,11.69494,55.54491,alleroed,43.6,30.8,9.4,14.69,Højgaard_samlingen_3,inventory,,
19,scraper,KT 2062 H 12/15 SØ,hoejgaard,DK,11.69494,55.54491,alleroed,41.7,36.4,10.4,15.82,Højgaard_samlingen_3,inventory,,
20,scraper,AJO 2062,hoejgaard,DK,11.69494,55.54491,alleroed,38.8,27.1,9.5,11.19,Højgaard_samlingen_3,inventory,,
21,scraper,AOM 2062,hoejgaard,DK,11.69494,55.54491,alleroed,44.3,30,9.6,11.41,Højgaard_samlingen_3,inventory,,
22,scraper,AOR 2062,hoejgaard,DK,11.69494,55.54491,alleroed,41.7,29.8,10.4,12.15,Højgaard_samlingen_3,inventory,,
23,scraper,AFD 2062,hoejgaard,DK,11.69494,55.54491,alleroed,25.1,22.4,10,7.01,Højgaard_samlingen_3,inventory,,
24,scraper,ADT 2062,hoejgaard,DK,11.69494,55.54491,alleroed,58.8,22.2,10.2,13.92,Højgaard_samlingen_4,inventory,,
25,scraper,EC 2062 H 14/15 SØ,hoejgaard,DK,11.69494,55.54491,alleroed,41.3,24.5,9.2,10.9,Højgaard_samlingen_4,inventory,,
26,scraper,AOB 2062,hoejgaard,DK,11.69494,55.54491,alleroed,59.7,31.1,15.6,35.29,Højgaard_samlingen_4,inventory,,
27,scraper,AOL 2062,hoejgaard,DK,11.69494,55.54491,alleroed,43.4,25.3,7.8,8.79,Højgaard_samlingen_4,inventory,,
28,scraper,ALW 2062,hoejgaard,DK,11.69494,55.54491,alleroed,52.6,21.1,9.2,10.59,Højgaard_samlingen_4,inventory,,
29,scraper,ABY 2062,hoejgaard,DK,11.69494,55.54491,alleroed,23.4,12.4,6.5,2.03,Højgaard_samlingen_4,inventory,,
30,scraper,AO 206(2),hoejgaard,DK,11.69494,55.54491,alleroed,28.4,19.1,5.2,3.7,Højgaard_samlingen_4,inventory,,
31,scraper,LN 2062 H 12/15 NØ,hoejgaard,DK,11.69494,55.54491,alleroed,30.8,14.2,7.3,3.17,Højgaard_samlingen_4,inventory,,
32,scraper,AAP 2062,hoejgaard,DK,11.69494,55.54491,alleroed,33.2,18.1,6.3,3.99,Højgaard_samlingen_4,inventory,,
33,ltp,AEM 2062,hoejgaard,DK,11.69494,55.54491,alleroed,78.8,25.9,10.5,17.23,Højgaard_samlingen_1,inventory,,
34,ltp,ALB 2062,hoejgaard,DK,11.69494,55.54491,alleroed,80.2,17.1,5.5,7.34,Højgaard_samlingen_1,inventory,,
35,ltp,EL 2062 14/14 SØ,hoejgaard,DK,11.69494,55.54491,alleroed,53.4,17.3,6.3,7.09,Højgaard_samlingen_1,inventory,,
36,ltp,HA 2062 15/15 NV,hoejgaard,DK,11.69494,55.54491,alleroed,49.9,17.8,4.3,4.78,Højgaard_samlingen_1,inventory,,
37,ltp,ME 2062 12/14 NV,hoejgaard,DK,11.69494,55.54491,alleroed,54.6,19.6,6.3,5.6,Højgaard_samlingen_1,inventory,,
38,ltp,AEK 2062,hoejgaard,DK,11.69494,55.54491,alleroed,46.5,18.2,5.7,4.96,Højgaard_samlingen_1,inventory,,
39,ltp,FV 2062 14/15 SØ,hoejgaard,DK,11.69494,55.54491,alleroed,41.1,15.6,5.3,4.44,Højgaard_samlingen_1,inventory,,
40,ltp,DX 2062 14/15 SV,hoejgaard,DK,11.69494,55.54491,alleroed,24.2,17.6,5.4,2.19,Højgaard_samlingen_1,inventory,,
41,ltp,QO 2062 12/11 NV,hoejgaard,DK,11.69494,55.54491,alleroed,27.2,12.3,4.6,14.1,Højgaard_samlingen_1,inventory,,
42,ltp,56 P9,hoejgaard,DK,11.69494,55.54491,alleroed,20.3,12,4.3,0.98,Højgaard_samlingen_1,inventory,,
43,abp,14_7,borneck,DE,10.21856,53.64809,alleroed,47.5,12.1,,,,"Rust 1958, tafel 14",Tafel 14,
44,abp,14_9,borneck,DE,10.21856,53.64809,alleroed,58.9,18.9,,,,Rust 1958,Tafel 14,
45,abp,14_10,borneck,DE,10.21856,53.64809,alleroed,51,16.2,,,,Rust 1958,Tafel 14,
46,abp,14_13,borneck,DE,10.21856,53.64809,alleroed,60,12.5,,,,Rust 1958,Tafel 14,
47,abp,14_14,borneck,DE,10.21856,53.64809,alleroed,73.9,13,,,,Rust 1958,Tafel 14,
48,ltp,25_19,borneck,DE,10.21856,53.64809,alleroed,68.4,12,,,,Rust 1958,Tafel 25,
49,ltp,25_21,borneck,DE,10.21856,53.64809,alleroed,70.5,10.2,,,,Rust 1958,Tafel 25,
50,ltp,25_22,borneck,DE,10.21856,53.64809,alleroed,72,18.9,,,,Rust 1958,Tafel 25,
51,ltp,25_23,borneck,DE,10.21856,53.64809,alleroed,58.4,19.4,,,,Rust 1958,Tafel 25,
53,abp,26_6,borneck,DE,10.21856,53.64809,alleroed,49.2,11.1,,,,Rust 1958,Tafel 26,
54,abp,26_7,borneck,DE,10.21856,53.64809,alleroed,44.1,10.9,,,,Rust 1958,Tafel 26,
55,ltp,34_1,trollesgave,DK,11.80265,55.28307,alleroed,65.2,13.3,,,,Fischer 1990,p. 34,
